,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
0,21277 (1996 TO5),False,.312604,16.1,1945-06-07,34693.2091900052,3107066.5,1990-02-04,2018-11-03
1,162038 (1996 DH),False,.13448,16.6,NA,NA,NA,1996-02-18,2018-05-05
2,189058 (2000 UT16),False,.537905,16.5,NA,NA,NA,1996-11-19,2017-11-25
3,276274 (2002 SS41),False,.601327,17.2,NA,NA,NA,2002-09-11,2017-09-27
4,322913 (2002 CM1),False,.578061,16.7,NA,NA,NA,2002-02-03,2018-09-28
5,435730 (2008 UK90),False,.562024,18.9,NA,NA,NA,2007-08-15,2015-06-08
6,451297 (2010 TK54),True,.0138983,19.2,NA,NA,NA,2010-10-08,2015-11-09
7,452307 Manawydan (1997 XV11),False,.583599,18.3,NA,NA,NA,1997-12-05,2016-04-20
8,452421 (2002 VX99),False,.516497,18.4,NA,NA,NA,2002-11-01,2016-04-25
9,453100 (2007 WU4),False,.508831,18.9,NA,NA,NA,2007-11-19,2016-01-01
10,454266 (2014 FM7),False,.285183,18.9,NA,NA,NA,2008-10-01,2017-06-24
11,(1979 XB),True,.023863,18.6,1979-12-17,51507.8587464745,3401319,1979-12-11,1979-12-15
12,(1990 UN),False,.0219335,23.5,1990-11-07,27014.3520390648,3915948.5,1990-10-22,1990-11-06
13,(1991 XA),False,.047372,23.7,1991-11-18,22750.4658020406,5470480,1991-12-04,1991-12-15
14,(1992 YD3),False,.0235471,26.4,1992-12-26,32945.5133508353,2830521.75,1992-12-27,1992-12-27
15,(1993 BD3),False,.0374988,26.2,1993-01-24,9668.6557903457,3489774.75,1993-01-26,1993-01-31
16,(1993 BU3),False,.198151,21.5,1993-01-04,9672.8673324065,18875844,1993-01-29,1993-03-03
17,(1994 FA),False,.0430943,25.2,1994-03-12,20643.8617375498,4006979,1994-03-16,1994-03-20
18,(1994 GK),False,.00299328,24.2,1994-04-05,34963.6817103318,2070529.375,1994-04-07,1994-04-10
19,(1994 RB),False,.0389121,23.4,1994-09-03,44076.0716570021,3963918.25,1994-09-01,1994-09-03
20,(1994 TA2),False,.260198,20.3,1994-08-21,9178.9891218843,30284554,1994-10-09,1994-10-27
